episode,cumulative_reward
1,-163.0
2,-27.5
3,-98.5
4,-89.5
5,-117.5
6,-38.0
7,31.0
8,-35.5
9,-72.5
10,96.5
11,-78.5
12,70.0
13,183.0
14,-38.5
15,115.0
16,156.5
17,37.5
18,103.5
19,159.0
20,-51.5
21,71.5
22,90.0
23,93.0
24,84.5
25,152.5
26,268.0
27,183.0
28,72.0
29,82.0
30,222.5
31,118.5
32,146.0
33,121.5
34,258.0
35,78.0
36,88.0
37,225.0
38,111.0
39,91.0
40,134.0
41,282.5
42,262.5
43,177.5
44,-17.5
45,204.0
46,234.0
47,355.0
48,199.0
49,72.0
50,79.5
51,151.5
52,77.0
53,179.0
54,20.5
55,219.0
56,238.5
57,191.0
58,129.0
59,80.0
60,248.5
61,236.5
62,196.0
63,189.0
64,177.0
65,69.5
66,142.0
67,101.0
68,329.5
69,406.0
70,173.0
71,55.5
72,278.5
73,163.5
74,176.5
75,162.0
76,124.0
77,211.0
78,96.0
79,66.5
80,207.5
81,153.0
82,86.5
83,236.0
84,251.0
85,337.0
86,241.0
87,298.0
88,240.0
89,189.0
90,166.0
91,350.0
92,362.0
93,245.5
94,243.5
95,214.5
96,112.0
97,124.5
98,230.5
99,301.0
100,279.0
101,199.0
102,187.5
103,209.0
104,69.0
105,204.0
106,196.0
107,132.0
108,132.0
109,178.5
110,170.0
111,279.5
112,211.5
113,240.5
114,225.0
115,335.5
116,560.0
117,51.0
118,354.0
119,197.0
120,262.0
121,299.0
122,250.0
123,138.5
124,273.5
125,292.5
126,318.0
127,300.0
128,157.0
129,253.0
130,213.0
131,282.0
132,290.5
133,406.0
134,315.0
135,273.0
136,200.0
137,354.0
138,310.0
139,195.0
140,170.0
141,63.0
142,181.5
143,81.0
144,270.0
145,230.0
146,240.0
147,171.5
148,188.0
149,192.5
150,303.0
151,178.0
152,342.0
153,149.0
154,169.0
155,246.0
156,254.0
157,455.0
158,294.0
159,230.0
160,420.0
161,182.0
162,261.0
163,225.0
164,415.0
165,191.0
166,166.0
167,179.0
168,166.0
169,281.0
170,78.0
171,224.0
172,222.5
173,330.0
174,285.5
175,260.0
176,281.0
177,211.5
178,247.0
179,431.0
180,210.0
181,157.0
182,219.5
183,300.0
184,284.0
185,145.0
186,150.0
187,192.0
188,167.0
189,160.0
190,135.0
191,371.0
192,273.0
193,229.0
194,108.5
195,224.5
196,280.0
197,71.0
198,291.5
199,174.0
200,425.0
201,394.0
202,432.0
203,160.0
204,210.0
205,306.0
206,282.0
207,355.0
208,363.0
209,82.0
210,149.5
211,220.5
212,223.0
213,263.0
214,213.5
215,172.5
216,231.5
217,231.0
218,363.0
219,139.0
220,349.0
221,277.0
222,346.0
223,402.0
224,247.0
225,165.0
226,263.5
227,323.0
228,168.0
229,283.0
230,260.0
231,333.0
232,289.0
233,59.0
234,317.0
235,319.0
236,257.0
237,166.0
238,213.0
239,233.0
240,349.0
241,160.0
242,423.0
243,237.0
244,116.0
245,336.0
246,223.0
247,216.0
248,381.0
249,286.0
250,266.0
251,188.0
252,265.0
253,335.0
254,325.0
255,308.0
256,241.0
257,342.0
258,401.0
259,331.0
260,182.0
261,314.0
262,292.0
263,167.0
264,312.0
265,399.0
266,251.0
267,314.0
268,245.0
269,353.0
270,165.5
271,385.0
272,237.0
273,251.0
274,229.0
275,295.0
276,242.0
277,330.0
278,341.0
279,274.0
280,290.0
281,291.0
282,213.0
283,351.0
284,256.5
285,308.0
286,421.0
287,322.0
288,289.0
289,131.0
290,354.0
291,312.0
292,183.5
293,243.0
294,345.0
295,189.0
296,324.0
297,142.0
298,215.0
299,142.0
300,178.0
301,367.0
302,380.0
303,262.0
304,268.0
305,389.0
306,335.0
307,222.0
308,329.0
309,274.0
310,204.0
311,292.0
312,233.0
313,157.0
314,244.0
315,273.0
316,241.0
317,265.0
318,229.0
319,235.0
320,334.0
321,325.0
322,131.0
323,198.0
324,279.0
325,325.0
326,405.0
327,239.0
328,286.0
329,283.0
330,220.0
331,193.0
332,195.0
333,288.0
334,256.0
335,258.0
336,216.0
337,281.0
338,236.0
339,408.0
340,165.0
341,299.0
342,254.0
343,158.0
344,387.0
345,325.5
346,418.0
347,338.0
348,197.0
349,65.0
350,183.0
351,299.0
352,193.0
353,275.0
354,179.0
355,303.0
356,170.0
357,311.0
358,84.0
359,330.0
360,372.5
361,144.0
362,121.0
363,276.0
364,218.0
365,168.0
366,341.5
367,287.0
368,249.0
369,263.0
370,228.0
371,193.0
372,159.0
373,431.0
374,295.0
375,337.0
376,412.0
377,248.0
